generations: 1000
Best solution:
100001111010111000110101110101101011110010111001111011110000100001100010010101111110111110001001101100010001110100100101100100011001100011011110001100100111 -18838488.079026256
-18838488.079026256
Average: -2652299.525557	Std Deviation: 3608317.779750
Generation #632:	-18837748.702061
Generation #633:	-18837748.702061
Generation #634:	-18837748.702061
Generation #635:	-18837748.702061
Generation #636:	-18837748.702061
Generation #637:	-18837748.702061
Generation #638:	-18837748.702061
Generation #639:	-18837748.702061
Generation #640:	-18837748.702061
Generation #641:	-18837748.702061
Generation #642:	-18837748.702061
Generation #643:	-18837748.702061
Generation #644:	-18837748.702061
Generation #645:	-18837748.702061
Generation #646:	-18837748.702061
Generation #647:	-18837748.702061
Generation #648:	-18837748.702061
Generation #649:	-18837748.702061
Generation #650:	-18837748.702061
Generation #651:	-18837748.702061
Generation #652:	-18837748.702061
Generation #653:	-18837748.702061
Generation #654:	-18837748.702061
Generation #655:	-18837748.702061
Generation #656:	-18837748.702061
Generation #657:	-18837748.702061
Generation #658:	-18837748.702061
Generation #659:	-18837748.702061
Generation #660:	-18837748.702061
Generation #661:	-18837748.702061
Generation #662:	-18837748.702061
Generation #663:	-18837748.702061
Generation #664:	-18837748.702061
Generation #665:	-18837748.702061
Generation #666:	-18837748.702061
Generation #667:	-18837748.702061
Generation #668:	-18837748.702061
Generation #669:	-18837748.702061
Generation #670:	-18837748.702061
Generation #671:	-18837748.702061
Generation #672:	-18837748.702061
Generation #673:	-18837748.702061
Generation #674:	-18837748.702061
Generation #675:	-18837748.702061
Generation #676:	-18837748.702061
Generation #677:	-18837748.702061
Generation #678:	-18837748.702061
Generation #679:	-18837748.702061
Generation #680:	-18837748.702061
Generation #681:	-18837748.702061
Generation #682:	-18837748.702061
Generation #683:	-18837748.702061
Generation #684:	-18837748.702061
Generation #685:	-18837748.702061
Generation #686:	-18837748.702061
Generation #687:	-18837748.702061
Generation #688:	-18837748.702061
Generation #689:	-18837748.702061
Generation #690:	-18837748.702061
Generation #691:	-18837748.702061
Generation #692:	-18837748.702061
Generation #693:	-18837748.702061
Generation #694:	-18837748.702061
Generation #695:	-18837748.702061
Generation #696:	-18837748.702061
Generation #697:	-18837748.702061
Generation #698:	-18837748.702061
Generation #699:	-18837748.702061
Generation #700:	-18837748.702061
Generation #701:	-18837748.702061
Generation #702:	-18837748.702061
Generation #703:	-18837748.702061
Generation #704:	-18837748.702061
Generation #705:	-18837748.702061
Generation #706:	-18837748.702061
Generation #707:	-18837748.702061
Generation #708:	-18837748.702061
Generation #709:	-18837748.702061
Generation #710:	-18837748.702061
Generation #711:	-18837748.702061
Generation #712:	-18837748.702061
Generation #713:	-18837748.702061
Generation #714:	-18837748.702061
Generation #715:	-18837748.702061
Generation #716:	-18837748.702061
Generation #717:	-18837748.702061
Generation #718:	-18837748.702061
Generation #719:	-18837748.702061
Generation #720:	-18837748.702061
Generation #721:	-18837748.702061
Generation #722:	-18837748.702061
Generation #723:	-18837748.702061
Generation #724:	-18837748.702061
Generation #725:	-18837748.702061
Generation #726:	-18837748.702061
Generation #727:	-18837748.702061
Generation #728:	-18837748.702061
Generation #729:	-18837748.702061
Generation #730:	-18837748.702061
Generation #731:	-18837748.702061
Generation #732:	-18837748.702061
Generation #733:	-18837748.702061
Generation #734:	-18837811.408134
Generation #735:	-18837811.408134
Generation #736:	-18837811.408134
Generation #737:	-18837811.408134
Generation #738:	-18837811.408134
Generation #739:	-18837811.408134
Generation #740:	-18837811.408134
Generation #741:	-18837811.408134
Generation #742:	-18837811.408134
Generation #743:	-18837811.408134
Generation #744:	-18837811.408134
Generation #745:	-18837811.408134
Generation #746:	-18837811.408134
Generation #747:	-18837811.408134
Generation #748:	-18837811.408134
Generation #749:	-18837811.408134
Generation #750:	-18837811.408134
Generation #751:	-18837811.408134
Generation #752:	-18837811.408134
Generation #753:	-18837811.408134
Generation #754:	-18837811.408134
Generation #755:	-18837811.408134
Generation #756:	-18837811.408134
Generation #757:	-18837811.408134
Generation #758:	-18837811.408134
Generation #759:	-18837811.408134
Generation #760:	-18837811.408134
Generation #761:	-18837811.408134
Generation #762:	-18837811.408134
Generation #763:	-18837811.408134
Generation #764:	-18837811.408134
Generation #765:	-18837811.408134
Generation #766:	-18837811.408134
Generation #767:	-18837811.408134
Generation #768:	-18837811.408134
Generation #769:	-18837811.408134
Generation #770:	-18837811.408134
Generation #771:	-18837811.408134
Generation #772:	-18837811.408134
Generation #773:	-18837811.408134
Generation #774:	-18837811.408134
Generation #775:	-18837811.408134
Generation #776:	-18837811.408134
Generation #777:	-18837811.408134
Generation #778:	-18837811.408134
Generation #779:	-18837811.408134
Generation #780:	-18837811.408134
Generation #781:	-18837811.408134
Generation #782:	-18837811.408134
Generation #783:	-18837811.408134
Generation #784:	-18837811.408134
Generation #785:	-18837811.408134
Generation #786:	-18837811.408134
Generation #787:	-18838003.515191
Generation #788:	-18838003.515191
Generation #789:	-18838012.791356
Generation #790:	-18838012.791356
Generation #791:	-18838012.791356
Generation #792:	-18838162.352762
Generation #793:	-18838162.352762
Generation #794:	-18838162.352762
Generation #795:	-18838162.352762
Generation #796:	-18838162.352762
Generation #797:	-18838162.352762
Generation #798:	-18838162.352762
Generation #799:	-18838162.352762
Generation #800:	-18838162.352762
